지역,2017년 01분기 지하1층,2017년 01분기 1층,2017년 01분기 2층,2017년 02분기 지하1층, 2017년 02분기 1층,2017년 02분기 2층
충청북도 효용비율,25.86,100,44.3,25.82,100,44.3
충청북도 제천역 임대료,,5.6,4.3,,5.6,4.3
충청북도 제천역 효용비율,,100,77.4,,100,77.4
충청북도 제천중앙 임대료,,7.6,5.4,,7.6,5.4
충청북도 제천중앙 효용비율,,100,70.9,,100,70.9
충청북도 청주 임대료,5.7,18.6,6.5,5.7,18.6,6.5
충청북도 청주 효용비율,30.59,100,34.7,30.47,100,34.7
충청북도 충청북도대학교 임대료,2.5,10.9,5.7,2.5,10.9,5.7
충청북도 충청북도대학교 효용비율,23.02,100,52.3,23.02,100,52.3
충청북도 충주 임대료,,8.9,9.3,,8.9,9.3
충청북도 충주 효용비율,,100,104.3,,100,104.3
충청북도 충주자유시장 임대료,,6.7,3.4,,6.7,3.4
충청북도 충주자유시장 효용비율,,100,51,,100,51
충청남도 임대료,3.9,12.4,6.4,3.9,12.3,6.4
충청남도 효용비율,31.44,100,51.9,31.57,100,52.1
충청남도 강경젓갈시장 임대료,,8.7,3.7,,8.7,3.7
충청남도 강경젓갈시장 효용비율,,100,42.4,,100,42.4
충청남도 논산시외버스터미널 임대료,,10.4,5.1,,10.4,5.1
충청남도 논산시외버스터미널 효용비율,,100,48.9,,100,48.9
충청남도 당진시청 임대료,6.6,14,9.7,6.6,14,9.7
충청남도 당진시청 효용비율,47.46,100,69.7,47.46,100,69.7
충청남도 두정 임대료,,14.1,5.6,,14.1,5.6
충청남도 두정 효용비율,,100,39.4,,100,39.4
충청남도 보령 임대료,,11,7.7,,11,7.7
충청남도 보령 효용비율,,100,70.6,,100,70.6
충청남도 서산 임대료,,17.3,9.8,,16.6,9.8
충청남도 서산 효용비율,,100,56.4,,100,58.9
충청남도 아산온양 임대료,,13.5,6.6,,13.5,6.6
충청남도 아산온양 효용비율,,100,49.4,,100,49.4
충청남도 천안역 임대료,1.9,12,5.7,1.9,12,5.7
충청남도 천안역 효용비율,15.49,100,47,15.49,100,47
충청남도 천안종합버스터미널 임대료,,14.1,,,14.1,
충청남도 천안종합버스터미널 효용비율,,100,,,100,
충청남도 태안 임대료,,12.2,6,,12,6
충청남도 태안 효용비율,,100,49,,100,50
전라북도 임대료,,10.5,4.2,,10.5,4.1
전라북도 효용비율,,100,39.8,,100,39.7
전라북도 군산 임대료,,11.5,4,,11.5,4
전라북도 군산 효용비율,,100,34.5,,100,34.6
전라북도 김제 임대료,,10.3,3.9,,10.3,3.9
전라북도 김제 효용비율,,100,37.5,,100,37.5
전라북도 남원 임대료,,8.9,3.5,,8.9,3.5
전라북도 남원 효용비율,,100,39,,100,39
전라북도 익산 임대료,,8.7,3,,8.7,2.9
전라북도 익산 효용비율,,100,34.3,,100,33.4
전라북도 전주 임대료,,15,6.2,,15,6.2
전라북도 전주 효용비율,,100,41,,100,41
전라북도 정읍 임대료,,7.3,2.2,,7.3,2.2
전라북도 정읍 효용비율,,100,30,,100,29.9
전라남도 임대료,2.2,10.4,4.5,2.2,10.4,4.5
전라남도 효용비율,20.93,100,43.1,20.91,100,42.9
전라남도 광양읍 임대료,,6.3,3.3,,6.3,3.3
전라남도 광양읍 효용비율,,100,52.4,,100,52.4
전라남도 광양중동 임대료,,10.6,8.4,,10.5,8.4
전라남도 광양중동 효용비율,,100,79.1,,100,79.6
전라남도 나주구시가지 임대료,,12,4.2,,11.9,4.3
전라남도 나주구시가지 효용비율,,100,35.2,,100,36.5
전라남도 목포 임대료,,8.9,3.2,,8.9,3.2
전라남도 목포 효용비율,,100,36.1,,100,35.9
전라남도 무선지구 임대료,,9.7,3.7,,9.7,3.7
전라남도 무선지구 효용비율,,100,38.4,,100,38.4
전라남도 순천 임대료,,9.9,3.8,,9.9,3.8
전라남도 순천 효용비율,,100,39,,100,39
전라남도 순천법원 임대료,,17.5,11.5,,17.5,11
전라남도 순천법원 효용비율,,100,65.4,,100,62.9
전라남도 여수여문 임대료,,10.7,3.6,,10.7,3.5
전라남도 여수여문 효용비율,,100,33.6,,100,32.9
전라남도 여수원도심 임대료,,18.7,3.2,,18.7,3.2
전라남도 여수원도심 효용비율,,100,17.1,,100,17.1
전라남도 여수학동 임대료,2.2,9.1,3,2.2,9.2,3
전라남도 여수학동 효용비율,24.07,100,33.1,23.87,100,32.8
전라남도 조례 임대료,,16.8,,,16.8,
전라남도 조례 효용비율,,100,,,100,
전라남도 하당신도심 임대료,,11.6,8.7,,11.8,8.7
