기준년도,기준월,기준일,시군명,건축년도,아파트명,층수,도로명,거래금액(만원),전용면적(㎡)
2017,7,2131,고양시,1997,햇빛마을주공20,7,충장로152번길,19600,39.99
2017,7,2131,고양시,1994,무원마을(두산),6,소원로,37000,84.93
2017,7,2131,고양시,1997,햇빛마을21단지,18,화신로,43000,134.64
2017,7,2131,고양시,1997,햇빛마을주공20,16,충장로152번길,24900,59.56
2017,7,2131,고양시,1996,샘터주공2,10,충장로,25500,59.98
2017,7,2131,고양시,1996,햇빛주공23,2,화신로,17800,39.99
2017,7,2131,고양시,2008,서정마을 4단지,6,서정마을로,41200,84.81
2017,7,2131,고양시,1994,무원마을(동신),15,용현로,37500,101.73
2017,7,2131,고양시,1996,햇빛주공23,15,화신로,22800,49.96
2017,7,2131,고양시,1995,소만마을(성원)6,15,소원로,26900,59.34
2017,7,2131,고양시,1993,신원당마을,8,고양대로1384번길,20700,49.59
2017,7,2131,고양시,1986,미도(404-7),5,마상로,12500,43.56
2017,7,2131,고양시,2009,삼성래미안,19,호국로,41000,84.99
2017,7,2131,고양시,2009,원당대림e-편한세상,24,호국로,32900,59.7
2017,7,2131,고양시,1992,신원당(동문),5,고양대로1384번길,25500,63.41
2017,7,2131,고양시,2009,삼성래미안,11,호국로,37900,84.99
2017,7,2131,고양시,1992,신원당(동신1),11,호국로,37800,145.62
2017,7,2131,고양시,2015,삼송2차아이파크,9,세솔로,60000,84.76
2017,7,2131,고양시,2015,삼송2차아이파크,21,세솔로,63500,84.74
2017,7,2131,고양시,2015,삼송2차아이파크,13,세솔로,62500,84.74
2017,7,2131,고양시,1993,신원당(태영)2,3,고양대로1384번길,23800,59.04
2017,7,2131,고양시,1996,샘터주공2,15,충장로,24400,59.98
2017,7,2131,고양시,1996,샘터주공2,6,충장로,25400,59.98
2017,7,2131,고양시,1996,햇빛주공22,15,충장로152번길,24500,59.98
2017,7,2131,고양시,2008,서정마을 4단지,15,서정마을로,44700,84.6
2017,7,2131,고양시,1996,샘터주공2,19,충장로,25200,59.56
2017,7,2131,고양시,1994,무원마을(두산),10,소원로,36350,84.93
2017,7,2131,고양시,1994,무원마을(두산),15,소원로,32000,71.55
2017,7,2131,고양시,1991,장미,14,행신로143번길,22500,79.06
2017,7,2131,고양시,1994,무원마을(신안)8,9,무원로,40700,127.16
2017,7,2131,고양시,1996,샘터주공2,17,충장로,22500,49.96
2017,7,2131,고양시,1994,소만마을(풍림),11,소만로,21500,45.36
2017,7,2131,고양시,1996,햇빛주공23,6,화신로,25000,59.97
2017,7,2131,고양시,1996,햇빛주공22,14,충장로152번길,24700,59.98
2017,7,2131,고양시,1995,소만마을(성원)6,13,소만로,22800,49.77
2017,7,2131,고양시,1998,일신건영아파트,5,화신로,36700,99.78
2017,7,2131,고양시,1996,햇빛주공23,3,화신로,21700,49.96
2017,7,2131,고양시,1995,소만마을(성원)6,14,소원로,23300,49.77
2017,7,2131,고양시,1995,소만마을(대명)7,7,화신로,26100,59.04
2017,7,2131,고양시,2005,SK뷰,14,충장로103번길,45700,104.01
2017,7,2131,고양시,2012,A21블럭 동산마을 호반베르디움,21,동산2로,50800,84.94
2017,7,2131,고양시,1995,중산마을7(코오롱),4,중산로,29000,101.85
2017,7,2131,고양시,2002,산들마을2(대림),17,고봉로278번길,33800,84.94
2017,7,2131,고양시,1995,무원마을1단지,15,화신로,27000,68.98
2017,7,2131,고양시,1997,일신건영아파트,15,화신로,44400,134.82
2017,7,2131,고양시,2000,행신벽산,20,행당로,29500,84.86
2017,7,2131,고양시,1994,소만마을(삼신),9,소원로181번길,24000,50.73
2017,7,2131,고양시,1996,샘터주공2,4,충장로,25000,59.97
